[22:40:04]: 2 + 3 = 5
[22:40:20]: 4 - 3 = 1
[22:40:35]: 6 / 3 = 2.0
[22:40:49]: 8 * 5 = 40
[22:42:02]: 5 + 5 = 10
[22:43:03]: 5 5i + 6 6i = 11+11*i
[22:43:47]: -5 6i + 3 -8i = -2-2*i
[23:00:48]: 5+4i + 3+7i = 8+11*i
[23:01:46]: 5+-6i + 4+8i = 9+2*i
[23:06:45]: 2+3i * 1+8i = -22+19*i
[23:07:23]: 2+3i + 1+8i = 3+11*i
[23:07:51]: 2+3i - 1+8i = 1-5*i
[23:08:26]: 2+3i / 1+8i = 0.4+0.2923076923076923*i
[23:09:52]: 4+6i / 2+3i = 2.0+1.8461538461538463*i
[23:11:35]: 4+6i / 2+3i = 2.0-0.0*i
[23:15:33]: 4+6i / 2+3i = result = 2.0
[23:16:09]: 4+6i / 3+3i = 1.6666666666666667+0.3333333333333333*i
[23:18:07]: 4+6i / 2+3i = 2.0
[23:19:18]: 4+-5i + 5+6i = 9+1*i
[23:21:43]: 5+6i + 4+6i = 9+12*i
